Year data collection,Placement test score (%),Proficiency,Age,Age of exposure to English,Years studying English,Stay abroad in English speaking country (>= 1 month),Stay abroad (months),Proficiency (self-assessment) speaking,Proficiency (self-assessment) listening,Proficiency (self-assessment) reading,Proficiency (self-assessment) writing,Proficiency (self-assessment),Proficiency (self-assessment) in additional language speaking,Proficiency (self-assessment) in additional language listening,Proficiency (self-assessment) in additional language reading,Proficiency (self-assessment) in additional language writing,Task number,Language certificates (highest level),FatherL1=L1,MotherL1=L1,Parents L1 different,is L1 spoken at home,is Father L1 spoken at home,is Mother L1 spoken at home,Number of languages spoken at home,is English spoken at home,Number of additional foreign languages,French,German,Spanish,Italian,Latin,Chinese,Portuguese,Japanese,Russian,Greek,Arabic,Turkish,Number of additional foreign language(s) not M/F's L1 and home L,Sex: Female,L1: German,Online,unique_word_count,lexical_diversity,sentence_count,avg_words_per_sentence,punctuation_count,gunning_fog_index,lemmatized_freqs_avg,lemmatized_freqs_None_ratio,pos_ratio_n,pos_ratio_v,pos_ratio_j,pos_ratio_r,pos_ratio_i,pos_ratio_p,pos_ratio_c,pos_ratio_d,pos_ratio_m,pos_ratio_u,pos_ratio_a
2019,68.3,4,22.0,1.0,11.0,0,0.0,4.0,5.0,5.0,4.0,4.5,4.0,4.0,4.0,4.0,14,3.6,False,False,False,False,False,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,129,0.44482758620689655,17,17.058823529411764,22,7.51,415.76785714285717,0.2767857142857143,0.26785714285714285,0.24107142857142858,0.08035714285714286,0.10714285714285714,0.11607142857142858,0.044642857142857144,0.026785714285714284,0.05357142857142857,0.017857142857142856,0.0,0.0
2019,70.0,4,21.0,8.0,13.0,0,0.0,5.0,6.0,6.0,4.0,5.25,2.2,2.0,2.6,2.4,14,3.2,False,True,False,True,False,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,185,0.39361702127659576,18,26.11111111111111,32,11.18,572.456647398844,0.24277456647398843,0.2832369942196532,0.2947976878612717,0.057803468208092484,0.12138728323699421,0.10982658959537572,0.046242774566473986,0.011560693641618497,0.028901734104046242,0.011560693641618497,0.0,0.0
2016,70.0,4,23.0,10.0,12.0,0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,13,3.0,True,True,True,True,True,True,1,False,2,0,0,1,1,0,0,0,0,0,0,0,0,2,1.0,1,1,79,0.45930232558139533,13,13.23076923076923,14,5.89,715.2933333333333,0.28,0.22666666666666666,0.22666666666666666,0.08,0.16,0.16,0.05333333333333334,0.02666666666666667,0.02666666666666667,0.0,0.0,0.0
2016,70.0,4,23.0,2.0,21.0,0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,13,3.4,False,False,False,True,False,False,1,False,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1.0,1,1,139,0.434375,16,20.0,34,5.81,624.3046875,0.2421875,0.234375,0.234375,0.109375,0.1328125,0.125,0.046875,0.0390625,0.03125,0.0078125,0.0,0.0
2018,70.0,4,29.0,9.0,20.0,0,0.0,4.0,5.0,5.0,4.0,4.5,3.8,4.0,4.0,3.6,14,3.6,True,False,False,True,True,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,54,0.5869565217391305,6,15.333333333333334,10,6.94,471.96078431372547,0.2549019607843137,0.29411764705882354,0.2549019607843137,0.058823529411764705,0.0784313725490196,0.13725490196078433,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0,0.0,0.0
2019,71.7,4,18.0,9.0,9.0,0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,14,2.8,False,False,True,True,False,False,1,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,102,0.425,14,17.142857142857142,14,6.97,449.27659574468083,0.19148936170212766,0.2553191489361702,0.2765957446808511,0.0425531914893617,0.11702127659574468,0.11702127659574468,0.07446808510638298,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0
2018,71.7,4,20.0,10.0,10.0,0,0.0,4.0,3.0,5.0,5.0,4.25,3.0,3.0,3.0,3.0,14,3.6,False,False,True,True,True,True,2,False,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,154,0.3632075471698113,23,18.434782608695652,39,7.09,446.0689655172414,0.25517241379310346,0.31724137931034485,0.2689655172413793,0.07586206896551724,0.09655172413793103,0.09655172413793103,0.04827586206896552,0.020689655172413793,0.027586206896551724,0.006896551724137931,0.0,0.0
2016,71.7,4,20.0,8.0,10.5,1,11.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,13,4.0,True,True,True,True,True,True,1,False,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1,1,108,0.4302788844621514,17,14.764705882352942,18,6.0,498.1770833333333,0.22916666666666666,0.2604166666666667,0.2604166666666667,0.0625,0.10416666666666667,0.125,0.052083333333333336,0.03125,0.03125,0.0,0.0,0.0
2016,71.7,4,20.0,8.0,12.0,1,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,13,3.2,True,True,True,True,True,True,1,False,2,0,0,1,0,1,0,0,0,0,0,0,0,2,1.0,1,1,91,0.4375,13,16.0,16,6.34,430.5487804878049,0.2073170731707317,0.24390243902439024,0.21951219512195122,0.0975609756097561,0.13414634146341464,0.13414634146341464,0.04878048780487805,0.024390243902439025,0.036585365853658534,0.0,0.0,0.0
2018,71.7,4,20.0,8.0,12.0,0,0.0,5.0,6.0,6.0,5.0,5.5,3.0,2.0,3.0,3.0,14,3.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,117,0.4349442379182156,12,22.416666666666668,29,8.1,434.0625,0.29464285714285715,0.2767857142857143,0.3392857142857143,0.026785714285714284,0.08035714285714286,0.11607142857142858,0.026785714285714284,0.008928571428571428,0.03571428571428571,0.008928571428571428,0.0,0.0
2018,71.7,4,20.0,7.0,13.0,1,5.0,5.0,5.0,5.0,5.0,5.0,3.2,3.0,3.4,3.2,14,0.0,True,True,True,True,True,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,116,0.3790849673202614,17,18.0,30,7.06,495.2710280373832,0.21495327102803738,0.2616822429906542,0.308411214953271,0.04672897196261682,0.08411214953271028,0.11214953271028037,0.06542056074766354,0.018691588785046728,0.028037383177570093,0.009345794392523364,0.0,0.0
2019,73.3,4,18.0,3.0,16.0,0,0.0,4.0,5.0,5.0,4.0,4.5,1.0,1.0,1.0,1.0,14,3.4,False,True,False,True,False,True,2,True,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,51,0.5425531914893617,5,18.8,11,6.64,375.5208333333333,0.3125,0.2708333333333333,0.25,0.08333333333333333,0.020833333333333332,0.125,0.020833333333333332,0.020833333333333332,0.0625,0.020833333333333332,0.0,0.0
2016,73.3,4,19.0,8.0,11.0,1,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,13,2.8,True,True,True,True,True,True,1,False,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,83,0.5763888888888888,7,20.571428571428573,16,9.2,431.6666666666667,0.2564102564102564,0.20512820512820512,0.2564102564102564,0.05128205128205128,0.1282051282051282,0.14102564102564102,0.0641025641025641,0.038461538461538464,0.038461538461538464,0.01282051282051282,0.0,0.0
2016,73.3,4,20.0,8.0,12.0,0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13,3.2,False,True,False,True,False,True,1,False,3,1,0,1,0,0,0,0,0,0,0,0,1,2,1.0,1,1,102,0.4636363636363636,17,12.941176470588236,29,5.32,501.2391304347826,0.2391304347826087,0.25,0.21739130434782608,0.06521739130434782,0.15217391304347827,0.13043478260869565,0.043478260869565216,0.03260869565217391,0.043478260869565216,0.0,0.0,0.0
2018,73.3,4,21.0,2.0,19.0,0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,14,2.2,True,False,False,False,False,True,2,True,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,108,0.484304932735426,11,20.272727272727273,29,7.96,578.53,0.27,0.25,0.3,0.04,0.08,0.09,0.06,0.02,0.03,0.01,0.0,0.0
2016,73.3,4,21.0,13.0,8.0,0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13,1.2,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,95,0.47029702970297027,10,20.2,21,7.9,668.2183908045977,0.19540229885057472,0.3448275862068966,0.19540229885057472,0.06896551724137931,0.05747126436781609,0.13793103448275862,0.05747126436781609,0.022988505747126436,0.04597701149425287,0.0,0.0,0.0
2019,73.3,4,22.0,7.0,15.0,1,5.0,4.0,5.0,5.0,3.0,4.25,2.0,3.0,3.0,2.0,14,3.8,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,101,0.5401069518716578,9,20.77777777777778,19,8.01,405.49484536082474,0.3402061855670103,0.36082474226804123,0.2268041237113402,0.10309278350515463,0.061855670103092786,0.07216494845360824,0.030927835051546393,0.030927835051546393,0.041237113402061855,0.010309278350515464,0.0,0.0
2016,73.3,4,23.0,9.0,12.0,1,1.5,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,13,2.8,True,True,True,True,True,True,1,False,2,0,0,1,0,0,1,0,0,0,0,0,0,2,1.0,1,1,126,0.47191011235955055,17,15.705882352941176,23,6.42,721.8305084745763,0.2542372881355932,0.2711864406779661,0.23728813559322035,0.11864406779661017,0.06779661016949153,0.1440677966101695,0.05084745762711865,0.03389830508474576,0.025423728813559324,0.01694915254237288,0.0,0.0
2019,73.3,4,23.0,9.0,14.0,0,0.0,5.0,5.0,5.0,4.0,4.75,4.0,4.0,4.0,4.0,14,4.2,True,True,True,True,True,True,1,False,3,1,0,1,0,0,0,0,0,1,0,0,0,3,1.0,1,1,96,0.5423728813559322,11,16.09090909090909,22,7.45,367.34939759036143,0.2289156626506024,0.24096385542168675,0.24096385542168675,0.08433734939759036,0.07228915662650602,0.13253012048192772,0.060240963855421686,0.024096385542168676,0.07228915662650602,0.0,0.0,0.0
2016,73.3,4,27.0,10.0,16.0,1,13.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,13,4.2,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,183,0.43990384615384615,30,13.866666666666667,63,5.63,472.11728395061726,0.2962962962962963,0.2777777777777778,0.20987654320987653,0.11728395061728394,0.12345679012345678,0.08641975308641975,0.043209876543209874,0.030864197530864196,0.024691358024691357,0.006172839506172839,0.0,0.0
2018,73.3,4,31.0,10.0,12.0,1,11.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,14,3.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,172,0.3990719257540603,33,13.06060606060606,42,5.11,556.224358974359,0.23717948717948717,0.3333333333333333,0.2564102564102564,0.0641025641025641,0.10256410256410256,0.07692307692307693,0.04487179487179487,0.01282051282051282,0.03205128205128205,0.00641025641025641,0.0,0.0
2018,75.0,4,18.0,8.0,10.0,0,0.0,4.0,5.0,5.0,4.0,4.5,4.0,4.0,4.0,4.0,14,5.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,189,0.4748743718592965,19,20.94736842105263,25,8.91,645.0790960451977,0.2033898305084746,0.24293785310734464,0.2542372881355932,0.12994350282485875,0.14689265536723164,0.0847457627118644,0.03954802259887006,0.01694915254237288,0.03954802259887006,0.011299435028248588,0.0,0.0
2016,75.0,4,20.0,8.0,10.0,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13,3.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,90,0.4166666666666667,13,16.615384615384617,20,6.86,655.3181818181819,0.19318181818181818,0.3181818181818182,0.23863636363636365,0.06818181818181818,0.09090909090909091,0.1590909090909091,0.022727272727272728,0.03409090909090909,0.022727272727272728,0.0,0.0,0.0
2018,75.0,4,20.0,9.0,10.5,0,0.0,4.0,4.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,14,3.2,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,92,0.3898305084745763,10,23.6,25,9.14,487.16470588235296,0.3058823529411765,0.2823529411764706,0.25882352941176473,0.047058823529411764,0.09411764705882353,0.11764705882352941,0.058823529411764705,0.011764705882352941,0.03529411764705882,0.023529411764705882,0.0,0.0
2018,75.0,4,20.0,8.0,12.0,0,0.0,5.0,4.0,5.0,4.0,4.5,4.0,4.0,4.0,4.0,14,3.2,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,61,0.48031496062992124,8,15.875,8,5.96,249.94827586206895,0.22413793103448276,0.1724137931034483,0.29310344827586204,0.034482758620689655,0.1206896551724138,0.1206896551724138,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.017241379310344827,0.0,0.0
2018,75.0,4,20.0,7.0,13.0,0,0.0,3.0,4.0,4.0,3.0,3.5,1.0,1.0,1.0,1.0,14,3.6,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,123,0.43309859154929575,16,17.75,27,6.6,519.6909090909091,0.2,0.2636363636363636,0.2636363636363636,0.07272727272727272,0.08181818181818182,0.12727272727272726,0.045454545454545456,0.02727272727272727,0.045454545454545456,0.00909090909090909,0.0,0.0
2016,75.0,4,21.0,9.0,11.0,0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,13,4.0,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,92,0.4623115577889447,12,16.583333333333332,20,6.63,581.5568181818181,0.22727272727272727,0.3068181818181818,0.19318181818181818,0.06818181818181818,0.09090909090909091,0.17045454545454544,0.056818181818181816,0.022727272727272728,0.03409090909090909,0.0,0.0,0.0
2019,75.0,4,22.0,8.0,13.5,0,0.0,4.0,4.0,5.0,5.0,4.5,2.0,2.2,2.2,2.2,14,3.4,True,True,True,True,True,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,79,0.48466257668711654,8,20.375,15,7.94,462.3066666666667,0.26666666666666666,0.24,0.25333333333333335,0.08,0.09333333333333334,0.13333333333333333,0.06666666666666667,0.02666666666666667,0.05333333333333334,0.0,0.0,0.0
2018,75.0,4,23.0,9.0,14.0,0,0.0,4.0,6.0,5.0,5.0,5.0,2.4,2.8,2.8,2.6,14,5.0,False,True,False,True,False,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,67,0.6442307692307693,3,34.666666666666664,8,13.22,345.328125,0.265625,0.328125,0.25,0.046875,0.03125,0.125,0.0625,0.015625,0.046875,0.015625,0.0,0.0
2016,75.0,4,24.0,10.0,11.0,1,12.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,13,4.0,True,True,True,True,True,True,1,False,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,103,0.5392670157068062,11,17.363636363636363,16,6.56,632.031914893617,0.2127659574468085,0.24468085106382978,0.20212765957446807,0.07446808510638298,0.11702127659574468,0.13829787234042554,0.05319148936170213,0.0425531914893617,0.06382978723404255,0.010638297872340425,0.0,0.0
2018,76.7,4,18.0,5.0,13.0,0,0.0,4.0,5.0,4.0,4.0,4.25,2.0,2.2,2.2,2.0,14,3.8,True,True,True,True,True,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,73,0.6239316239316239,6,19.5,11,8.86,195.82608695652175,0.36231884057971014,0.2028985507246377,0.2608695652173913,0.057971014492753624,0.07246376811594203,0.11594202898550725,0.043478260869565216,0.028985507246376812,0.08695652173913043,0.0,0.0,0.0
2016,76.7,4,18.0,10.0,8.0,0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13,4.0,True,True,True,True,True,True,1,False,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,110,0.4824561403508772,13,17.53846153846154,19,7.21,578.9705882352941,0.23529411764705882,0.17647058823529413,0.3235294117647059,0.09803921568627451,0.10784313725490197,0.09803921568627451,0.058823529411764705,0.0196078431372549,0.029411764705882353,0.00980392156862745,0.0,0.0
2018,76.7,4,19.0,9.0,10.0,0,0.0,4.0,5.0,5.0,4.0,4.5,2.0,2.0,2.0,2.0,14,0.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,64,0.6530612244897959,5,19.6,9,10.72,641.983870967742,0.20967741935483872,0.22580645161290322,0.27419354838709675,0.08064516129032258,0.0967741935483871,0.11290322580645161,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0
2019,76.7,4,19.0,9.0,10.0,0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,14,4.0,False,False,True,True,False,False,1,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1,1,140,0.3526448362720403,24,16.541666666666668,43,6.26,373.8780487804878,0.2845528455284553,0.2845528455284553,0.24390243902439024,0.07317073170731707,0.10569105691056911,0.13821138211382114,0.04878048780487805,0.008130081300813009,0.032520325203252036,0.0,0.0,0.0
2019,76.7,4,19.0,9.0,10.0,1,10.0,4.0,4.0,4.0,3.0,3.75,3.0,3.0,3.0,2.0,14,4.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,55,0.632183908045977,6,14.5,8,7.31,497.12,0.22,0.28,0.18,0.08,0.08,0.16,0.04,0.04,0.06,0.0,0.0,0.0
2019,76.7,4,19.0,10.0,8.0,1,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,14,5.0,True,False,False,True,True,False,1,False,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,125,0.46296296296296297,16,16.875,20,7.33,629.4260869565218,0.23478260869565218,0.28695652173913044,0.25217391304347825,0.06086956521739131,0.12173913043478261,0.11304347826086956,0.05217391304347826,0.017391304347826087,0.02608695652173913,0.0,0.0,0.0
2016,76.7,4,20.0,8.0,12.0,1,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,13,2.6,True,True,True,True,True,True,1,False,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1.0,1,1,157,0.4604105571847507,18,18.944444444444443,60,7.24,439.03521126760563,0.33098591549295775,0.22535211267605634,0.21830985915492956,0.07746478873239436,0.14788732394366197,0.09859154929577464,0.07042253521126761,0.028169014084507043,0.035211267605633804,0.02112676056338028,0.0,0.0
2016,76.7,4,20.0,13.0,8.0,1,10.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,13,2.6,True,True,True,True,True,True,1,False,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0.0,1,1,109,0.4823008849557522,10,22.6,18,9.28,498.96938775510205,0.22448979591836735,0.21428571428571427,0.23469387755102042,0.07142857142857142,0.11224489795918367,0.1326530612244898,0.08163265306122448,0.02040816326530612,0.07142857142857142,0.01020408163265306,0.0,0.0
2020,76.7,4,21.0,10.0,11.0,0,0.0,3.0,4.0,4.0,3.0,3.5,2.0,2.0,3.0,3.0,14,3.0,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,201,0.3435897435897436,26,22.5,57,8.73,503.3699421965318,0.27167630057803466,0.30057803468208094,0.24855491329479767,0.08092485549132948,0.07514450867052024,0.11560693641618497,0.03468208092485549,0.023121387283236993,0.04046242774566474,0.017341040462427744,0.0,0.0
2016,76.7,4,21.0,8.0,12.0,1,10.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,13,2.2,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,116,0.44787644787644787,12,21.583333333333332,35,7.91,466.4056603773585,0.25471698113207547,0.1792452830188679,0.25471698113207547,0.07547169811320754,0.1320754716981132,0.14150943396226415,0.05660377358490566,0.02830188679245283,0.02830188679245283,0.02830188679245283,0.0,0.0
2016,76.7,4,22.0,10.0,11.0,1,23.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,13,3.4,True,True,True,True,True,True,1,False,2,0,0,1,0,1,0,0,0,0,0,0,0,2,1.0,1,1,135,0.5357142857142857,12,21.0,26,7.88,599.3688524590164,0.2786885245901639,0.19672131147540983,0.2459016393442623,0.11475409836065574,0.13934426229508196,0.12295081967213115,0.06557377049180328,0.03278688524590164,0.03278688524590164,0.00819672131147541,0.0,0.0
2016,76.7,4,24.0,6.0,17.0,1,12.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,13,2.6,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,102,0.5257731958762887,13,14.923076923076923,18,5.85,417.97802197802196,0.21978021978021978,0.24175824175824176,0.21978021978021978,0.10989010989010989,0.14285714285714285,0.10989010989010989,0.054945054945054944,0.054945054945054944,0.03296703296703297,0.0,0.0,0.0
